pos,country_code,region_code,PourcentDeathAttribuableEnv,Per100000AirPol,Per100000Chemi,Per100000Water,Per100000UV,country_name,region_name,WorldBankincome,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,",,,,,,,,,,,,,,,,,,,"
63,GBR,EUR,0.12,32.12592,0.23367,0.197,2.86,United Kingdom,Europe,High income,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,GEO,EUR,0.25,184.01279,0.81154,0.18,1.93,Georgia,Europe,Lower middle income,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65,GHA,AFR,0.23,101.46878,1.65976,18.836,0.8,Ghana,Africa,Lower middle income,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66,GIN,AFR,0.24,127.29439,2.96213,44.634,0.65,Guinea,Africa,Low income,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67,GMB,AFR,0.23,97.29858,1.88754,29.659,0.48,Gambia,Africa,Low income,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,GNB,AFR,0.24,108.39146,2.18784,35.272,0.91,Guinea Bissau,Africa,Low income,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
69,GNQ,AFR,0.24,100.05769,1.92406,22.289,0.99,Equatorial Guinea,Africa,Upper middle income,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70,GRC,EUR,0.16,76.71261,0.23408,0.037,2.86,Greece,Europe,High income,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71,GRD,AMR,0.14,43.8919,0.36327,0.343,0.31,Grenada,Americas,Upper middle income,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72,GTM,AMR,0.17,49.53368,1.06813,6.295,0.29,Guatemala,Americas,Upper middle income,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
73,GUY,AMR,0.18,75.53807,0.72714,3.649,0.18,Guyana,Americas,Upper middle income,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74,HND,AMR,0.2,39.43291,0.39071,3.619,0.5,Honduras,Americas,Lower middle income,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75,HRV,EUR,0.16,86.45354,0.17308,0.112,4.4,Croatia,Europe,High income,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76,HTI,AMR,0.23,127.30315,2.57105,23.792,0.09,Haiti,Americas,Low income,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77,HUN,EUR,0.17,82.68938,0.26785,0.24,3.68,Hungary,Europe,High income,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78,IDN,SEAR,0.23,80.76009,0.40332,7.057,0.47,Indonesia,South-East Asia,Lower middle income,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79,IND,SEAR,0.3,140.75473,2.36452,18.584,0.18,India,South-East Asia,Lower middle income,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80,IRL,EUR,0.13,20.22318,0.20796,0.074,2.07,Ireland,Europe,,,,,,,,,,,,,,,,,,,,,",,,,,,,,,,,,,,,,,,,",,,,,,,,,,,,,,,,
81,IRN,EMR,0.22,35.02813,1.19578,0.985,1,Iran,Eastern Mediterranean,Upper middle income,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
